3000, 0 / 6, 1 / 6, 0 / 6, 1 / 6, 1 / 6, 1 / 6, 0 / 6, 3 / 6
3001, 2 / 6, 1 / 6, 0 / 6, 0 / 6, 1 / 6, 0 / 6, 1 / 6, 0 / 6
3002, 0 / 5, 2 / 5, 4 / 5, 3 / 5, 2 / 5, 3 / 5, 2 / 5, 3 / 5
3003, 2 / 5, 5 / 5, 3 / 5, 0 / 5, 3 / 5, 0 / 5, 2 / 5, 3 / 5
3004, 2 / 5, 2 / 5, 0 / 5, 2 / 5, 4 / 5, 3 / 5, 3 / 5, 3 / 5
3005, 2 / 5, 1 / 5, 1 / 5, 0 / 5, 2 / 5, 2 / 5, 0 / 5, 1 / 5
3006, 3 / 5, 4 / 5, 3 / 5, 3 / 5, 0 / 5, 3 / 5, 0 / 5, 2 / 5
3007, 1 / 5, 2 / 5, 1 / 5, 2 / 5, 1 / 5, 0 / 5, 0 / 5, 0 / 5
3008, 5 / 5, 0 / 5, 4 / 5, 5 / 5, 4 / 5, 1 / 5, 5 / 5, 4 / 5
3009, 1 / 5, 1 / 5, 1 / 5, 0 / 5, 1 / 5, 1 / 5, 0 / 5, 1 / 5
3010, 3 / 5, 3 / 5, 0 / 5, 0 / 5, 3 / 5, 1 / 5, 0 / 5, 2 / 5
3011, 1 / 5, 1 / 5, 0 / 5, 0 / 5, 0 / 5, 2 / 5, 1 / 5, 0 / 5
3012, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 1 / 5, 1 / 5, 1 / 5
3013, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5
3014, 1 / 5, 1 / 5, 1 / 5, 1 / 5, 1 / 5, 0 / 5, 1 / 5, 2 / 5
3015, 3 / 5, 3 / 5, 2 / 5, 3 / 5, 3 / 5, 3 / 5, 2 / 5, 3 / 5
3016, 2 / 5, 2 / 5, 2 / 5, 2 / 5, 0 / 5, 0 / 5, 0 / 5, 2 / 5
3017, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5, 0 / 5
3018, 0 / 4, 1 / 4, 1 / 4, 3 / 4, 1 / 4, 0 / 4, 1 / 4, 1 / 4
3019, 2 / 4, 0 / 4, 3 / 4, 0 / 4, 1 / 4, 2 / 4, 2 / 4, 3 / 4
3020, 1 / 4, 1 / 4, 4 / 4, 0 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4
3021, 1 / 4, 1 / 4, 1 / 4, 2 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4
3022, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4
3023, 0 / 4, 2 / 4, 0 / 4, 4 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4
3024, 0 / 4, 1 / 4, 2 / 4, 1 / 4, 3 / 4, 1 / 4, 1 / 4, 1 / 4
3025, 1 / 4, 1 / 4, 2 / 4, 2 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4
3026, 3 / 4, 1 / 4, 2 / 4, 1 / 4, 2 / 4, 4 / 4, 4 / 4, 1 / 4
3027, 2 / 4, 2 / 4, 0 / 4, 1 / 4, 1 / 4, 1 / 4, 3 / 4, 3 / 4
3028, 0 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 0 / 4, 0 / 4, 0 / 4
3029, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4
3030, 1 / 4, 0 / 4, 2 / 4, 2 / 4, 3 / 4, 1 / 4, 1 / 4, 2 / 4
3031, 0 / 4, 1 / 4, 0 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4
3032, 2 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4
3033, 0 / 4, 0 / 4, 1 / 4, 0 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4
3034, 0 / 4, 1 / 4, 1 / 4, 0 / 4, 0 / 4, 0 / 4
3035, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4
3036, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 1 / 4, 1 / 4, 2 / 4, 1 / 4
3037, 1 / 4, 1 / 4, 0 / 4, 1 / 4, 0 / 4, 1 / 4, 1 / 4
3038, 2 / 4, 2 / 4, 1 / 4, 2 / 4, 2 / 4, 0 / 4, 1 / 4, 2 / 4
3039, 2 / 4, 2 / 4, 3 / 4, 2 / 4, 2 / 4, 2 / 4, 3 / 4, 2 / 4
3040, 4 / 4, 2 / 4, 1 / 4, 3 / 4, 4 / 4, 0 / 4, 0 / 4
3041, 0 / 4, 3 / 4, 0 / 4, 0 / 4, 0 / 4, 1 / 4, 3 / 4
3042, 0 / 4, 0 / 4, 0 / 4, 1 / 4, 1 / 4, 2 / 4, 1 / 4
3043, 1 / 4, 1 / 4, 0 / 4, 1 / 4, 2 / 4, 1 / 4
3044, 2 / 4, 2 / 4, 0 / 4, 2 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4
3045, 2 / 4, 2 / 4, 3 / 4, 2 / 4, 2 / 4, 2 / 4, 2 / 4, 3 / 4
3046, 0 / 4, 2 / 4, 2 / 4, 3 / 4, 2 / 4, 2 / 4, 0 / 4, 0 / 4
3047, 0 / 4, 0 / 4, 2 / 4, 2 / 4, 1 / 4, 1 / 4
3048, 0 / 4, 2 / 4, 1 / 4, 2 / 4, 4 / 4, 1 / 4, 4 / 4, 4 / 4
3049, 1 / 4, 0 / 4, 0 / 4, 1 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4
3050, 0 / 4, 1 / 4, 1 / 4, 0 / 4, 1 / 4, 1 / 4, 1 / 4, 1 / 4
3051, 0 / 4, 1 / 4, 0 / 4, 1 / 4, 1 / 4, 1 / 4, 0 / 4, 0 / 4
3052, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4, 0 / 4
3053, 0 / 4, 0 / 4, 1 / 4, 1 / 4, 0 / 4, 0 / 4, 0 / 4, 1 / 4
3158, 0 / 3
3876, 0 / 34, 0 / 34, 0 / 34, 0 / 34, 0 / 34
3107, 0 / 3, 1 / 3, 0 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3
3784, 0 / 50, 0 / 50, 7 / 50, 8 / 50, 0 / 50, 9 / 50, 0 / 50
3621, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 1 / 2
3070, 1 / 3, 1 / 3, 2 / 3, 0 / 3, 0 / 3, 2 / 3, 1 / 3
3113, 2 / 3, 2 / 3, 2 / 3, 3 / 3, 2 / 3, 2 / 3, 2 / 3, 3 / 3
3665, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3629, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3882, 0 / 32, 1 / 32, 0 / 32, 0 / 32, 0 / 32, 1 / 32
3075, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3, 1 / 3
3338, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 2 / 2, 1 / 2, 0 / 2
3859, 3 / 36, 0 / 36, 0 / 36, 0 / 36, 7 / 36, 7 / 36, 0 / 36
3888, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31
3119, 0 / 3, 1 / 3, 2 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 2 / 3
3820, 39 / 42, 31 / 42, 42 / 42, 34 / 42, 31 / 42, 42 / 42, 41 / 42, 40 / 42
